k2,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.0,0.064,32,True,False,False,213,299,1.0814503091715467e+54,2.162902812938827e+52,871.7805424905691,298
0.0,0.064,35,True,False,False,298,299,1.5192605435449593e+54,3.0385241550930797e+52,870.003819245264,298
0.0,0.064,36,True,False,False,234,299,1.170340223531984e+54,2.3406828138004214e+52,873.4008493870745,298
0.0,0.064,37,True,False,False,296,299,1.4880355638224593e+54,2.976074134571148e+52,870.334110715231,298
0.0,0.064,40,False,True,False,218,299,0.0,0.0,875.6171006757211,298
0.0,0.064,39,True,False,False,446,299,2.27139423882455e+54,4.542793047461152e+52,871.2099210386702,298
0.0,0.064,38,True,False,False,355,299,1.7893364701016635e+54,3.57867655274936e+52,870.7705807373027,298
0.0,0.064,42,True,False,False,282,299,1.4463995638354627e+54,2.892802045098752e+52,873.1069748431953,298
0.0,0.064,41,True,False,False,319,299,1.5699087843075544e+54,3.139820735696646e+52,870.8718996250242,298
0.0,0.064,43,True,False,False,333,299,1.696778355699787e+54,3.393560131860022e+52,871.0751079432055,298
0.0,0.064,44,True,False,False,379,299,1.8854551689319383e+54,3.770914133579611e+52,867.2273205444809,298
0.0,0.064,45,True,False,False,368,299,1.8260612026487698e+54,3.6521260874218365e+52,868.6098910941726,298
0.0,0.066,0,True,False,False,396,299,1.956162240447214e+54,3.912328427059225e+52,873.6853250783682,298
0.0,0.064,46,True,False,False,483,299,2.4789993162689102e+54,4.958003621622121e+52,870.5814718320739,298
0.0,0.064,47,False,True,False,215,299,0.0,0.0,871.8522181357822,298
0.0,0.066,2,True,False,False,380,300,2.8921006181926072e+54,5.784207064941771e+52,876.2164120728288,299
0.0,0.064,48,True,False,False,235,299,1.1981632214914212e+54,2.396328867280552e+52,873.6294322813869,298
0.0,0.064,49,True,False,False,416,299,2.158743970257817e+54,4.317492290528467e+52,874.7586896494726,298
0.0,0.066,1,True,False,False,339,299,1.7036022519571763e+54,3.407207939541855e+52,869.7523149927982,298
0.0,0.066,3,True,False,False,622,299,3.216574424695523e+54,6.4331553104931e+52,871.3776506744229,298
0.0,0.066,4,True,False,False,450,299,2.2246893213130242e+54,4.4493831228933664e+52,871.8199938067544,298
0.0,0.066,8,True,False,False,362,300,2.745772791727148e+54,5.491551121805876e+52,878.5122527091731,299
0.0,0.066,7,True,False,False,386,299,1.9243914205592336e+54,3.848786721907326e+52,870.655260891594,298
0.0,0.066,5,True,False,False,563,299,2.7895744524194817e+54,5.579154514942023e+52,873.8754310101149,298
0.0,0.066,6,True,False,False,397,299,2.0092504691161716e+54,4.0185049879508187e+52,868.4498180384865,298
0.0,0.066,10,True,False,False,317,299,1.611011247250108e+54,3.2220257501141177e+52,873.0333757051349,298
0.0,0.066,9,True,False,False,491,299,2.4361833016870052e+54,4.872371505868309e+52,871.623810393371,298
0.0,0.066,11,True,False,False,515,300,3.889580490839916e+54,7.779168807467788e+52,879.9141696485148,299
0.0,0.066,12,True,False,False,445,299,2.31359308506202e+54,4.627190824886761e+52,871.3608200336599,298
0.0,0.066,13,True,False,False,244,299,1.2463312579102002e+54,2.4926650360533476e+52,870.049975997864,298
0.0,0.066,20,True,False,False,363,299,1.847611433722869e+54,3.6952265888474167e+52,872.0953172803572,298
0.0,0.066,16,True,False,False,461,299,2.3540737100365712e+54,4.7081521625620906e+52,871.1046706879877,298
