wb_repro_floor,wb_repro_threshold,phi,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,total_births,total_deaths
0.0,0.5,10.0,0.069,1.0,9,True,False,False,665,11,19.62726899466892,0.24009703870317645,0.8094100096641771,7795,7330
0.0,0.5,10.0,0.069,1.0,10,True,False,False,592,11,17.572493787264225,0.2144104064779721,0.8040015541276689,5754,5362
0.0,0.5,10.0,0.069,1.0,12,True,False,False,388,11,11.998419582787154,0.1447292102780513,0.813810138214424,5238,5050
0.0,0.5,10.0,0.069,1.0,11,True,False,False,536,11,15.523391571138884,0.18879469204039265,0.8147477088454567,5761,5425
0.0,0.5,10.0,0.069,1.0,13,True,False,False,595,11,17.18570974862276,0.20957524032112032,0.8089725525493133,5791,5396
0.0,0.5,10.0,0.069,1.0,14,True,False,False,653,11,19.537273729354247,0.23897201282048774,0.8075853020961228,6764,6311
0.0,0.5,15.0,0.06,1.0,0,False,True,False,62,11,0.0,0.0,0.8048154077724486,1432,1570
0.0,0.5,15.0,0.06,1.0,3,False,True,False,63,11,0.0,0.0,0.8156627732535174,1572,1709
0.0,0.5,15.0,0.06,1.0,1,False,True,False,93,11,0.0,0.0,0.8364917637796863,1636,1743
0.0,0.5,15.0,0.06,1.0,2,False,True,False,96,11,0.0,0.0,0.8097155404580458,1922,2026
0.0,0.5,15.0,0.06,1.0,4,False,True,False,82,11,0.0,0.0,0.8056849014671206,2097,2215
0.0,0.5,15.0,0.06,1.0,6,False,True,False,107,11,0.0,0.0,0.7803176570990914,2089,2182
0.0,0.5,15.0,0.06,1.0,7,False,True,False,84,11,0.0,0.0,0.8395490746049689,1676,1792
0.0,0.5,15.0,0.06,1.0,5,False,True,False,99,11,0.0,0.0,0.8196572603707525,2177,2278
0.0,0.5,15.0,0.06,1.0,9,False,True,False,107,11,0.0,0.0,0.8234274642161516,2514,2607
0.0,0.5,15.0,0.06,1.0,8,False,True,False,49,11,0.0,0.0,0.7455057557342772,1457,1608
0.0,0.5,15.0,0.06,1.0,10,False,True,False,58,11,0.0,0.0,0.8041287980389438,1922,2064
0.0,0.5,15.0,0.06,1.0,11,False,True,False,64,11,0.0,0.0,0.7951652676618719,1638,1774
0.0,0.5,15.0,0.06,1.0,12,True,False,False,180,11,8.305528312520485,0.06570971951333995,0.8170693019939131,2124,2144
0.0,0.5,15.0,0.06,1.0,13,False,True,False,84,11,0.0,0.0,0.8009425070821401,2147,2263
0.0,0.5,15.0,0.06,1.0,14,False,True,False,128,11,0.0,0.0,0.7895502690929629,1970,2042
0.0,0.5,15.0,0.063,1.0,0,False,True,False,78,11,0.0,0.0,0.8036894389457954,2051,2173
0.0,0.5,15.0,0.063,1.0,2,False,True,False,76,11,0.0,0.0,0.828146594490143,1985,2109
0.0,0.5,15.0,0.063,1.0,1,True,False,False,187,11,9.528590663279983,0.075902676525002,0.8171684935602368,2909,2922
0.0,0.5,15.0,0.063,1.0,4,False,True,False,59,11,0.0,0.0,0.8016133244472282,1965,2106
0.0,0.5,15.0,0.063,1.0,3,True,False,False,190,11,8.4278705978739,0.0667293156776452,0.8031751444816086,3122,3132
0.0,0.5,15.0,0.063,1.0,7,False,True,False,40,11,0.0,0.0,0.7908610382251837,1259,1419
0.0,0.5,15.0,0.063,1.0,6,False,True,False,36,11,0.0,0.0,0.7984641349810067,1503,1667
0.0,0.5,15.0,0.063,1.0,5,False,True,False,202,11,0.0,0.0,0.8119464690639046,3381,3379
0.0,0.5,15.0,0.063,1.0,9,False,True,False,102,11,0.0,0.0,0.7763403400689664,1915,2013
0.0,0.5,15.0,0.063,1.0,8,True,False,False,211,11,9.152033700257885,0.07276446445222075,0.7986860214750126,2980,2969
0.0,0.5,15.0,0.063,1.0,10,True,False,False,199,11,8.979702189737328,0.07132825999424744,0.8306803013934372,2921,2922
0.0,0.5,15.0,0.063,1.0,11,True,False,False,199,11,8.499000587611848,0.06732211036357862,0.8028886935713844,2822,2823
0.0,0.5,15.0,0.063,1.0,12,True,False,False,279,11,12.505629120125432,0.10071320628448817,0.8094008952327691,3197,3118
0.0,0.5,15.0,0.063,1.0,13,True,False,False,226,11,10.549864681628197,0.08441393686707344,0.820826189872536,3471,3445
0.0,0.5,15.0,0.063,1.0,14,True,False,False,247,11,11.188501266514649,0.08973631069959484,0.8085367608527309,3194,3147
0.0,0.5,15.0,0.066,1.0,0,True,False,False,227,11,10.238303265631348,0.08181739534031372,0.8091098254336062,3324,3297
0.0,0.5,15.0,0.066,1.0,2,True,False,False,302,11,12.988234095297475,0.10473521839608954,0.8070567933538675,3482,3380
0.0,0.5,15.0,0.066,1.0,3,True,False,False,366,11,16.179222810265617,0.1313288017531165,0.8007366821192166,4175,4009
0.0,0.5,15.0,0.066,1.0,1,True,False,False,452,11,19.316298137442296,0.15747307298027263,0.8184541266625718,4507,4255
0.0,0.5,15.0,0.066,1.0,6,True,False,False,287,11,12.695512802369091,0.10229568981026656,0.8094695165804957,3816,3729
0.0,0.5,15.0,0.066,1.0,7,True,False,False,405,11,18.046947910401688,0.14689435452162053,0.8147695169651584,3879,3674
0.0,0.5,15.0,0.066,1.0,5,True,False,False,444,11,19.11379268299013,0.15578539982215228,0.7954249541390401,4489,4245
0.0,0.5,15.0,0.066,1.0,4,True,False,False,498,11,21.527659416897286,0.17590247701324258,0.8147141381955526,4428,4130
0.0,0.5,15.0,0.066,1.0,10,True,False,False,192,11,9.029217165501464,0.07174091589024084,0.8005010357127407,2528,2536
0.0,0.5,15.0,0.066,1.0,9,True,False,False,388,11,17.195711763363608,0.13980018351778462,0.814382228080801,4343,4155
0.0,0.5,15.0,0.066,1.0,8,True,False,False,384,11,16.46573634923407,0.13371659513561762,0.8131114355327483,4447,4263
0.0,0.5,15.0,0.066,1.0,11,False,True,False,223,11,0.0,0.0,0.80154481606284,3781,3758
0.0,0.5,15.0,0.066,1.0,12,True,False,False,364,11,16.215023987930117,0.1316271673950401,0.7977364989376607,4218,4054
