reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.2,4.0,10.0,False,True,False,128,15,1.8065744401676447,36.54146587153867,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,155,15,1.8274487818262366,36.63040063222474,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,104,15,1.823513131811768,36.53850567231148,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,55,14,1.0578677454786634,23.272027212026224,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,93,15,1.8124961303873,36.1762198143601,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,110,15,1.8326883924063013,37.00435060408595,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,90,15,1.8241620360801991,36.713881768274625,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,18,14,1.059369087691643,23.933243517577584,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,94,15,1.8113329017497715,36.1798035035923,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,165,15,1.7963012385301704,36.66780360253846,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,137,15,1.8082698389757013,36.24866512184599,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,185,15,1.825419602117133,36.72840786969386,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,122,15,1.7918425137166014,36.42689215755037,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,166,15,1.7905534020512262,35.938928279089744,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,73,15,1.8051290701024383,35.956480934858895,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,149,15,1.7882125411637815,35.73459130572484,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,165,15,1.7918754649828077,35.89241099472165,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,97,15,1.81380102241609,36.73311820286929,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,151,15,1.8055356797322486,36.46365232471439,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,173,15,1.79856534654474,35.81851967042125,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,161,15,1.829848966604418,37.2765498422865,0.0,0.0
0.062,0.2,4.0,10.0,True,False,False,228,15,1.8193747285400086,36.94603586001964,7.08880970331473,0.08335444620805128
