phi,shock_magnitude,wb_repro_floor,wb_repro_threshold,shock_step,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,pre_shock_avg_well_being,post_shock_avg_well_being,recovery_avg_well_being_step_150,recovery_avg_well_being_step_200,shock_deaths,total_births_post_shock,total_deaths_post_shock
1.0,0.0,0.5,0.5,100,0.066,1.0,4,False,True,False,159,10,0.0,0.0,0.7848335454111806,0.8327592702071801,0.8296116710891364,0.8134668396896368,0.8150263777582909,0,2164,2281
1.0,0.0,0.5,0.5,100,0.066,1.0,8,True,False,False,234,10,1.0594537291209343,0.07981797054905765,0.8036785668891777,0.814188265257299,0.806626823068599,0.8213879459321611,0.8110213549698985,0,2255,2302
1.0,0.0,0.5,0.5,100,0.066,1.0,9,False,True,False,160,10,0.0,0.0,0.8108814178029606,0.8100663409780055,0.8049742461642805,0.8180737815899043,0.7817784610718098,0,1614,1707
1.0,0.0,0.5,0.5,100,0.066,1.0,2,True,False,False,350,10,1.4227000199536184,0.12522719013198824,0.7964531434161447,0.80704971385874,0.8119009897883924,0.8169048174918361,0.8005686996927609,0,2840,2834
1.0,0.0,0.5,0.5,100,0.066,1.0,7,True,False,False,248,10,1.1079987112232133,0.0858865519923093,0.8031344770836748,0.8137679648920131,0.811078547714246,0.81294706436149,0.8060862132251255,0,2543,2640
1.0,0.0,0.5,0.5,100,0.066,1.0,10,True,False,False,266,10,1.1542029876084297,0.09166252316080335,0.7952705562850902,0.7918325672819393,0.7901570882162892,0.8107399117345012,0.7926777484197076,0,2593,2656
1.0,0.0,0.5,0.5,100,0.066,1.0,14,True,False,False,360,10,1.4666217349862196,0.13071781959285916,0.8140674808263471,0.8064635432887117,0.8091442794411049,0.7951722674485168,0.8097750863620423,0,2673,2579
1.0,0.0,0.5,0.5,100,0.066,1.0,13,True,False,False,255,10,1.1904698636350104,0.09619622545687634,0.7947790576400946,0.7977510013888863,0.7995691267427908,0.8054714636734208,0.7888201519214281,0,2311,2296
1.0,0.0,0.5,0.5,100,0.066,1.0,11,True,False,False,256,10,1.1473027557297617,0.09079992915157689,0.7978224814606023,0.8060710030017516,0.8021322150739972,0.8282090063330583,0.8172338337047089,0,2227,2299
1.0,0.0,0.5,0.5,100,0.066,1.0,12,True,False,False,394,10,1.5312516820200694,0.13879717381024964,0.7968928403046611,0.8115495194769893,0.8139818022972208,0.8103305401154652,0.8123279018116086,0,3862,3927
1.0,0.2,0.0,0.5,100,0.066,1.0,0,True,False,False,223,10,1.1000738211153833,0.084895865806658,0.8023832095728902,0.7955417204659386,0.5950644944433611,0.8093578067447553,0.7951709099729235,12,2382,2458
