rr,phi,alpha,seed,successor_cap,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,15.0,1.0,0,5.0,extinction,277,0,52,0.0001,0.19437362688072427,26867.87968762194,18.98736657328402,26886.867054195223
0.05,15.0,1.0,1,5.0,extinction,161,0,40,0.001287611038063384,0.6636091641144896,23807.774256471792,60.56686656561219,23868.341123037404
0.05,15.0,1.0,1,10.0,extinction,161,0,45,0.0001,0.610188333607299,47895.88848844858,60.56883426072809,47956.457322709306
0.05,15.0,1.0,0,100.0,extinction,266,0,7,0.0009000000000000001,0.25240315854957884,85519.46728695082,21.19112569299028,85540.65841264381
0.05,15.0,1.0,0,25.0,extinction,286,0,58,0.0001,0.1780320599349682,116330.27669888531,17.35320827515461,116347.62990716046
0.05,15.0,0.5,4,100.0,extinction,363,0,19,0.0015902752127441298,0.1519073416052262,139204.80353845583,8.03464044083147,139212.83817889667
0.05,15.0,0.5,4,25.0,extinction,538,0,79,0.0001,0.01846233493258083,125257.41722479428,1.3962349312742548,125258.81345972556
0.05,15.0,1.0,1,100.0,extinction,207,0,7,0.0009000000000000001,0.4227773542136195,76845.70870988334,38.228545259394345,76883.93725514274
0.05,15.0,1.0,1,50.0,extinction,326,0,28,0.0001,0.12082196234211459,157045.10281377594,11.63219869665487,157056.7350124726
0.05,15.0,1.0,1,25.0,extinction,375,0,67,0.0001,0.07576215680695468,121192.9334293573,7.126216587005382,121200.0596459443
0.05,15.0,1.0,2,5.0,extinction,320,0,57,0.0001,0.12801480034646787,30671.017662252078,12.351482890640854,30683.36914514272
0.05,15.0,1.0,2,50.0,extinction,257,0,23,0.0001,0.0,126081.76437527697,0.0,126081.76437527697
0.05,15.0,1.0,3,5.0,extinction,268,0,53,0.0001,0.21225568566969982,27531.090982857237,20.77557066639159,27551.86655352363
0.05,15.0,1.0,2,10.0,extinction,320,0,64,0.0001,0.1280145901080972,62702.8781466711,12.35146260583292,62715.22960927693
0.05,15.0,1.0,0,50.0,extinction,638,0,45,0.0001,0.009636470543326978,198065.56188045928,0.5136473874436562,198066.07552784673
0.05,15.0,1.0,3,25.0,extinction,237,0,54,0.0001,0.2877600900325786,107490.97681720222,28.326009909567766,107519.30282711178
0.05,15.0,1.0,3,10.0,extinction,268,0,58,0.0001,0.21225353784575313,55876.07752775608,20.775360437544045,55896.85288819363
0.05,15.0,1.0,2,100.0,extinction,350,0,5,0.0009000000000000001,0.13197622126939854,48860.72680774493,9.14843196497225,48869.87523970991
0.05,15.0,1.0,2,25.0,extinction,396,0,81,0.0001,0.0622638732567168,146882.07699434512,5.77638900290207,146887.85338334803
0.05,15.0,1.0,3,50.0,extinction,304,0,28,0.0001,0.14944580188284012,137041.10360734572,14.49458353812175,137055.59819088384
0.05,15.0,1.0,3,100.0,extinction,283,0,8,0.0007739950098101367,0.21364172529239597,69803.49101695439,17.881290815342208,69821.37230776974
