alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,2.5,10.0,0.09,True,False,False,3134,112,0.15067840373913516,3.9326313760416207,1.282728251739838e+22,2.5654590713944552e+20
0.1,2.5,10.0,0.09,True,False,False,3120,110,0.15688529069278753,3.9053028400876455,5.658921823881171e+21,1.1317854976586991e+20
0.1,2.5,10.0,0.09,True,False,False,3024,112,0.16701114803384964,3.9415950698233324,1.2788808088482497e+22,2.5577641779133458e+20
0.1,2.5,10.0,0.09,True,False,False,3248,109,0.09905028599451784,3.8936544289022033,3.7908454904760715e+21,7.581698568924722e+19
0.1,2.5,10.0,0.09,True,False,False,3251,123,0.09900786254987215,3.929697286418852,1.1069554492708323e+24,2.21391311458183e+22
0.1,2.5,10.0,0.09,True,False,False,3256,119,0.11982615234457436,3.8849946125820916,2.179670656969979e+23,4.359345677353226e+21
0.1,2.5,10.0,0.09,True,False,False,3075,132,0.14539180766358156,4.009757190635107,4.267202763161576e+25,8.534414068464676e+23
0.1,2.5,10.0,0.09,True,False,False,3174,101,0.09925327873217041,3.888076476841139,1.479491126931606e+20,2.9589852157543465e+18
0.1,2.5,10.0,0.09,True,False,False,3256,135,0.07710444730053538,3.9479470016819587,1.441573801412334e+26,2.8831504883654944e+24
0.1,2.5,10.0,0.09,True,False,False,3067,112,0.16004709477141005,3.8980083152938425,1.2822937461582622e+22,2.564590059314444e+20
0.1,2.5,10.0,0.09,True,False,False,3042,125,0.14261417745952906,3.928208593209596,2.4968035839597764e+24,4.9936121667826334e+22
0.1,2.5,10.0,0.09,True,False,False,3273,143,0.06124678861378368,3.9277237481060014,3.675456375662247e+27,7.350920108647372e+25
0.1,2.5,10.0,0.09,True,False,False,3087,117,0.09841085185125503,3.8547861068551343,9.71363026961545e+22,1.9427279984909138e+21
0.1,2.5,10.0,0.09,True,False,False,3143,121,0.13539083369876415,3.9443010460620567,4.9111383351971054e+23,9.822286502997046e+21
0.1,2.5,10.0,0.09,True,False,False,3162,100,0.22423111720533417,3.9228615677860033,9.841036772058464e+19,1.9682093244535741e+18
0.1,2.5,10.0,0.09,True,False,False,3178,103,0.1876481346861961,3.92011479264354,3.3253533549345145e+20,6.650713366919365e+18
0.1,2.5,10.0,0.09,True,False,False,3346,92,0.20033510646919375,3.906368738487693,3.8459824693716403e+18,7.691972637615074e+16
0.1,2.5,10.0,0.09,True,False,False,3170,137,0.07665193875392724,3.8976737160663886,3.2238358792865605e+26,6.447678212085215e+24
0.1,2.5,10.0,0.09,True,False,False,3271,121,0.11196688752531125,3.9149966694346228,4.9268921792457795e+23,9.85379422107555e+21
0.1,2.5,10.0,0.09,True,False,False,3081,122,0.05403610005190897,3.9148688384086396,7.345372216549046e+23,1.4690759137794428e+22
0.1,2.5,10.0,0.09,True,False,False,3172,97,0.16383991499771292,3.9258027730408855,2.9150974577875755e+19,5.830200750813155e+17
0.1,2.5,10.0,0.09,True,False,False,3118,135,0.026914174330865705,4.298807136754475,1.441934432261954e+26,2.8838717511314097e+24
0.1,2.5,10.0,0.09,True,False,False,3302,131,0.1427996039022129,3.9061023790607026,2.839704124639006e+25,5.679413933463865e+23
0.1,2.5,10.0,0.09,True,False,False,2892,90,0.3939792715059586,3.9436066351815935,1.7045950957205857e+18,3.409193604059422e+16
0.1,2.5,10.0,0.09,True,False,False,3120,72,0.3883072605738742,3.910227813698083,1159566318345230.5,23191349578823.875
0.1,2.5,10.0,0.09,True,False,False,3140,111,0.12784185312194354,3.9355838036323982,8.531520456791918e+21,1.7063057992852062e+20
0.1,2.5,10.0,0.09,True,False,False,3157,118,0.12480471767184696,3.9194862743409757,1.4615375777956584e+23,2.923078081048139e+21
0.1,2.5,10.0,0.09,True,False,False,3061,119,0.09873341769897971,3.9355982253431003,2.180982477469254e+23,4.3619693211157345e+21
0.1,2.5,10.0,0.09,True,False,False,3006,104,0.19497336279926386,3.9258380396815964,5.001398543722794e+20,1.0002807100897405e+19
0.1,2.5,10.0,0.09,True,False,False,3143,113,0.17343474517366472,3.922101037208887,1.9140182505044304e+22,3.828040332563276e+20
0.1,2.5,10.0,0.09,True,False,False,3053,115,0.12021647893166124,3.9285700925130334,4.325094376008458e+22,8.650197410969299e+20
0.1,2.5,10.0,0.09,True,False,False,3181,118,0.13530990996200123,3.917938193049652,1.4583951768688083e+23,2.916793272994224e+21
0.1,2.5,10.0,0.09,True,False,False,3125,105,0.2223518713997594,3.939299878995385,7.52646017987436e+20,1.505293542752782e+19
0.1,2.5,10.0,0.09,True,False,False,3131,104,0.12860158523626847,3.9128356305929675,4.999889993087694e+20,9.999789994402755e+18
0.1,2.5,10.0,0.09,True,False,False,3129,125,0.025807546256792633,4.137264937266502,2.4942636633493706e+24,4.988532320008665e+22
