frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.06,14,False,True,False,21,12,0.0,0.0,7.24047713200604,11
0.01,0.06,18,False,True,False,83,12,0.0,0.0,7.3149651141655525,11
0.01,0.06,19,False,True,False,119,12,0.0,0.0,7.157566310626057,11
0.01,0.06,17,False,True,False,124,12,0.0,0.0,7.274068549810164,11
0.01,0.06,20,False,True,False,98,12,0.0,0.0,7.224203212491522,11
0.01,0.06,21,False,True,False,137,12,0.0,0.0,7.248542369972194,11
0.01,0.06,22,False,True,False,72,12,0.0,0.0,7.2511653235078075,11
0.01,0.06,23,False,True,False,158,12,0.0,0.0,7.252158635161129,11
0.01,0.06,26,False,True,False,99,12,0.0,0.0,7.21945797497491,11
0.01,0.06,24,False,True,False,92,12,0.0,0.0,7.272796755343405,11
0.01,0.06,25,False,True,False,108,12,0.0,0.0,7.249656482145435,11
0.01,0.06,27,False,True,False,16,12,0.0,0.0,7.109610289505226,11
0.01,0.06,31,False,True,False,63,12,0.0,0.0,7.209970779149317,11
0.01,0.06,29,False,True,False,64,12,0.0,0.0,7.28812702378613,11
0.01,0.06,28,False,True,False,115,12,0.0,0.0,7.215325364864352,11
0.01,0.06,30,False,True,False,103,12,0.0,0.0,7.306324630017826,11
0.01,0.06,32,False,True,False,60,12,0.0,0.0,7.1841594262484945,11
0.01,0.06,33,False,True,False,33,12,0.0,0.0,7.292017327306903,11
0.01,0.06,34,False,True,False,103,12,0.0,0.0,7.140838338554502,11
0.01,0.06,35,False,True,False,55,12,0.0,0.0,7.2591204089936205,11
0.01,0.06,37,False,True,False,56,12,0.0,0.0,7.27356869910277,11
0.01,0.06,39,False,True,False,135,12,0.0,0.0,7.156942767545458,11
0.01,0.06,36,False,True,False,61,12,0.0,0.0,7.246322613090166,11
0.01,0.06,38,False,True,False,58,12,0.0,0.0,7.299936857072538,11
0.01,0.06,43,True,False,False,188,12,5.486213297607132,0.06332047633060697,7.211675484922526,11
0.01,0.06,40,False,True,False,111,12,0.0,0.0,7.196220873977669,11
0.01,0.06,41,False,True,False,67,12,0.0,0.0,7.142697234054132,11
0.01,0.06,42,False,True,False,128,12,0.0,0.0,7.203089612379603,11
0.01,0.06,44,False,True,False,66,12,0.0,0.0,7.241129386035994,11
0.01,0.06,45,False,True,False,113,12,0.0,0.0,7.180528748178266,11
0.01,0.06,46,False,True,False,81,12,0.0,0.0,7.2236170477689345,11
0.01,0.06,48,False,True,False,60,12,0.0,0.0,7.274444183939028,11
0.01,0.06,47,False,True,False,102,12,0.0,0.0,7.160512890046456,11
0.01,0.06,49,False,True,False,65,12,0.0,0.0,7.221570509439317,11
0.01,0.062,1,False,True,False,153,12,0.0,0.0,7.350064644735078,11
0.01,0.062,0,False,True,False,145,12,0.0,0.0,7.151861532920765,11
0.01,0.062,7,False,True,False,170,12,0.0,0.0,7.3129969520601374,11
0.01,0.062,3,False,True,False,122,12,0.0,0.0,7.2250013822797925,11
0.01,0.062,2,True,False,False,199,12,5.871619215043474,0.06813841479936239,7.166132564247773,11
0.01,0.062,4,False,True,False,144,12,0.0,0.0,7.197862349574209,11
0.01,0.062,6,False,True,False,172,12,0.0,0.0,7.239314461397016,11
0.01,0.062,5,True,False,False,214,12,6.762566154235818,0.07927609352537213,7.227246956823307,11
0.01,0.062,8,False,True,False,149,12,0.0,0.0,7.195062854697671,11
0.01,0.062,10,False,True,False,78,12,0.0,0.0,7.290666433395792,11
0.01,0.062,9,False,True,False,106,12,0.0,0.0,7.177267429017929,11
