reproduction_rate,defense_active,seed,extinct,final_population,collapsed,survived,opacity_accum_final,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_ai_generation,steps_completed,final_avg_U_sys,final_avg_L_t
0.068,True,1043840161,False,384,False,True,0.6987828796157594,0.6957018891981134,129,172,172,1,300,29.25773629533774,0.3338913663923069
0.068,True,2048779732,False,205,False,True,0.5727755427876617,0.5712140990318623,138,163,163,1,300,24.38611905516371,0.27299580832762926
0.068,True,1064568211,False,242,False,True,0.6106331666330259,0.6086491376427386,150,151,151,1,300,25.846780325682463,0.29125417698870243
0.068,True,207080506,False,287,False,True,0.63106681431051,0.6288336211177327,152,149,149,1,300,26.639279417986998,0.3011604713507764
0.068,True,625340098,False,263,False,True,0.5541830239500958,0.5520810115825833,168,133,133,1,300,23.694116677917492,0.2643457299900167
0.068,True,1581553400,False,150,True,False,0.48673886939049754,0.48550191490341665,160,141,141,1,300,21.082952417581254,0.2317059931373637
0.068,True,668408507,False,200,False,True,0.5670445893062819,0.5654508880066629,138,163,163,1,300,24.166658923806235,0.2702525412940662
0.068,True,22418005,False,178,True,False,0.6149618221009013,0.6135178050034605,137,164,164,1,300,25.9921922696068,0.2930718364550361
0.068,True,246101011,False,203,False,True,0.5165742599952291,0.5150566063676464,172,129,129,1,300,22.235102164354313,0.2461079460394174
0.068,True,1076159,False,103,True,False,0.43888407390431744,0.4380669305541775,186,115,115,1,300,19.237948081482717,0.2086433092441
0.068,True,1777406877,False,269,False,True,0.6025090499875091,0.6003468826185842,145,156,156,1,300,25.5423978244663,0.2874493742877537
0.068,True,731546059,False,301,False,True,0.6781243105508135,0.6757369742690107,147,154,154,1,300,28.44302035418692,0.323707359761131
0.068,True,1638983385,False,395,False,True,0.7431522793558599,0.739957231672058,131,170,170,1,300,30.957037057382756,0.3551327453377662
0.068,True,644458873,False,261,False,True,0.8239741293288846,0.821934561194619,112,189,189,1,300,34.0041947565553,0.3932224308441508
0.068,True,1346210265,False,163,False,True,0.447885625501742,0.44661141985887337,204,97,97,1,300,19.600561435017244,0.2131760015510368
0.068,True,1255690836,False,164,True,False,0.49223323385114637,0.49094460452775895,156,145,145,1,300,21.29507640157533,0.23435755789033336
0.068,True,1819286128,False,141,True,False,0.4178830924130431,0.41676603089242825,184,117,117,1,300,18.445971477147634,0.1987435459915081
0.068,True,1085420977,False,233,False,True,0.6647569351740044,0.6629115484866608,126,175,175,1,300,27.910795806261945,0.31705451558598
0.068,True,677524318,False,211,False,True,0.505627182279447,0.5039306164799944,170,131,131,1,300,21.821522376738994,0.24093816947514501
0.068,True,1191313973,False,129,True,False,0.5119029784473318,0.5108847870481842,149,152,152,1,300,22.03601413593602,0.2436193315574525
0.068,True,1905795593,False,204,True,False,0.6430132394347114,0.6413634889283418,145,156,156,1,300,27.072229525205266,0.30657237814479704
0.068,True,1402289486,False,321,False,True,0.7818308745841193,0.7792745725585546,138,163,163,1,300,32.4124621180325,0.3733256610495216
0.068,True,748132640,False,239,False,True,0.6427340667758917,0.6408510790047155,126,175,175,1,300,27.07147063967906,0.3065628919629561
0.068,True,391191878,False,184,False,True,0.5474000989439786,0.5459516658425584,147,154,154,1,300,23.409880953518805,0.260792763461177
