arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
AS_PUBLISHED,700000079,300,1,0,False,False,521,0.0,0.0
ZERO_STRENGTH,700000080,300,2,1,False,False,443,0.0,0.0
ZERO_DEPENDENCY,700000080,300,2,1,False,False,443,0.0,0.0
AS_PUBLISHED,700000080,300,2,1,False,False,443,0.0,0.0
ZERO_STRENGTH,700000081,300,1,0,False,False,468,0.0,0.0
ZERO_DEPENDENCY,700000081,300,1,0,False,False,468,0.0,0.0
AS_PUBLISHED,700000081,300,1,0,False,False,468,0.0,0.0
ZERO_STRENGTH,700000082,300,2,1,False,False,487,0.0,0.0
ZERO_DEPENDENCY,700000082,300,2,1,False,False,487,0.0,0.0
AS_PUBLISHED,700000082,300,2,1,False,False,487,0.0,0.0
ZERO_STRENGTH,700000083,300,1,0,False,False,470,0.0,0.0
ZERO_DEPENDENCY,700000083,300,1,0,False,False,470,0.0,0.0
AS_PUBLISHED,700000083,300,1,0,False,False,470,0.0,0.0
ZERO_STRENGTH,700000084,300,1,0,False,False,452,0.0,0.0
ZERO_DEPENDENCY,700000084,300,1,0,False,False,452,0.0,0.0
AS_PUBLISHED,700000084,300,1,0,False,False,452,0.0,0.0
ZERO_STRENGTH,700000085,300,1,0,False,False,528,0.0,0.0
ZERO_DEPENDENCY,700000085,300,1,0,False,False,528,0.0,0.0
AS_PUBLISHED,700000085,300,1,0,False,False,528,0.0,0.0
ZERO_STRENGTH,700000086,300,1,0,False,False,431,0.0,0.0
ZERO_DEPENDENCY,700000086,300,1,0,False,False,431,0.0,0.0
AS_PUBLISHED,700000086,300,1,0,False,False,431,0.0,0.0
ZERO_STRENGTH,700000087,300,1,0,False,False,471,0.0,0.0
ZERO_DEPENDENCY,700000087,300,1,0,False,False,471,0.0,0.0
AS_PUBLISHED,700000087,300,1,0,False,False,471,0.0,0.0
ZERO_STRENGTH,700000088,300,1,0,False,False,448,0.0,0.0
ZERO_DEPENDENCY,700000088,300,1,0,False,False,448,0.0,0.0
AS_PUBLISHED,700000088,300,1,0,False,False,448,0.0,0.0
ZERO_STRENGTH,700000089,300,1,0,False,False,492,0.0,0.0
ZERO_DEPENDENCY,700000089,300,1,0,False,False,492,0.0,0.0
AS_PUBLISHED,700000089,300,1,0,False,False,492,0.0,0.0
ZERO_STRENGTH,700000090,300,1,0,False,False,464,0.0,0.0
ZERO_DEPENDENCY,700000090,300,1,0,False,False,464,0.0,0.0
AS_PUBLISHED,700000090,300,1,0,False,False,464,0.0,0.0
ZERO_STRENGTH,700000091,300,1,0,False,False,508,0.0,0.0
ZERO_DEPENDENCY,700000091,300,1,0,False,False,508,0.0,0.0
AS_PUBLISHED,700000091,300,2,1,False,False,421,0.0,0.0
ZERO_STRENGTH,700000092,300,1,0,False,False,483,0.0,0.0
ZERO_DEPENDENCY,700000092,300,1,0,False,False,483,0.0,0.0
AS_PUBLISHED,700000092,300,1,0,False,False,483,0.0,0.0
ZERO_STRENGTH,700000093,300,1,0,False,False,442,0.0,0.0
ZERO_DEPENDENCY,700000093,300,1,0,False,False,442,0.0,0.0
AS_PUBLISHED,700000093,300,1,0,False,False,442,0.0,0.0
ZERO_STRENGTH,700000094,300,1,0,False,False,494,0.0,0.0
ZERO_DEPENDENCY,700000094,300,1,0,False,False,494,0.0,0.0
AS_PUBLISHED,700000094,300,1,0,False,False,494,0.0,0.0
ZERO_STRENGTH,700000095,300,2,1,False,False,526,0.0,0.0
ZERO_DEPENDENCY,700000095,300,2,1,False,False,526,0.0,0.0
AS_PUBLISHED,700000095,300,3,2,False,False,491,0.0,0.0
ZERO_STRENGTH,700000096,300,1,0,False,False,416,0.0,0.0
ZERO_DEPENDENCY,700000096,300,1,0,False,False,416,0.0,0.0
AS_PUBLISHED,700000096,300,1,0,False,False,416,0.0,0.0
ZERO_STRENGTH,700000097,300,1,0,False,False,458,0.0,0.0
ZERO_DEPENDENCY,700000097,300,1,0,False,False,458,0.0,0.0
AS_PUBLISHED,700000097,300,1,0,False,False,458,0.0,0.0
ZERO_STRENGTH,700000098,300,1,0,False,False,477,0.0,0.0
ZERO_DEPENDENCY,700000098,300,1,0,False,False,477,0.0,0.0
AS_PUBLISHED,700000098,300,1,0,False,False,477,0.0,0.0
ZERO_STRENGTH,700000099,300,1,0,False,False,415,0.0,0.0
ZERO_DEPENDENCY,700000099,300,1,0,False,False,415,0.0,0.0
AS_PUBLISHED,700000099,300,1,0,False,False,415,0.0,0.0
ZERO_STRENGTH,700000100,300,1,0,False,False,467,0.0,0.0
ZERO_DEPENDENCY,700000100,300,1,0,False,False,467,0.0,0.0
AS_PUBLISHED,700000100,300,1,0,False,False,467,0.0,0.0
ZERO_STRENGTH,700000101,300,1,0,False,False,497,0.0,0.0
ZERO_DEPENDENCY,700000101,300,1,0,False,False,497,0.0,0.0
AS_PUBLISHED,700000101,300,1,0,False,False,497,0.0,0.0
ZERO_STRENGTH,700000102,300,1,0,False,False,489,0.0,0.0
ZERO_DEPENDENCY,700000102,300,1,0,False,False,489,0.0,0.0
AS_PUBLISHED,700000102,300,1,0,False,False,489,0.0,0.0
ZERO_STRENGTH,700000103,300,2,1,False,False,423,0.0,0.0
ZERO_DEPENDENCY,700000103,300,2,1,False,False,423,0.0,0.0
AS_PUBLISHED,700000103,300,3,2,False,False,464,0.0,0.0
ZERO_STRENGTH,700000104,300,1,0,False,False,387,0.0,0.0
ZERO_DEPENDENCY,700000104,300,1,0,False,False,387,0.0,0.0
AS_PUBLISHED,700000104,300,1,0,False,False,387,0.0,0.0
ZERO_STRENGTH,700000105,300,1,0,False,False,439,0.0,0.0
ZERO_DEPENDENCY,700000105,300,1,0,False,False,439,0.0,0.0
AS_PUBLISHED,700000105,300,1,0,False,False,439,0.0,0.0
ZERO_STRENGTH,700000106,300,1,0,False,False,448,0.0,0.0
