channel,seed,post_burn_in_records,maximum_statistic
entropy,1835086375,290,0.09410586790603792
entropy,1835086376,290,0.06518057087400286
entropy,1835086377,290,0.15444678015234092
entropy,1835086378,290,0.16663846345587296
entropy,1835086379,290,0.09711554573631354
entropy,1835086380,290,0.04995626607907022
entropy,1835086381,290,0.0530213559953433
entropy,1835086382,290,0.1015858502202488
entropy,1835086383,290,0.05706184235525724
entropy,1835086384,290,0.06080051100068662
entropy,1835086385,290,0.04729702632648192
entropy,1835086386,290,0.1109607207468436
entropy,1835086387,290,0.0506782821885412
entropy,1835086388,290,0.05990348886197061
entropy,1835086389,290,0.14461070607132276
entropy,1835086390,290,0.06918807173236119
entropy,1835086391,290,0.055356830739528795
entropy,1835086392,290,0.04300350711019996
entropy,1835086393,290,0.11103997983281932
entropy,1835086394,290,0.09060393783526888
entropy,1835086395,290,0.06083993856290226
entropy,1835086396,290,0.03190454012368371
entropy,1835086397,290,0.0993699657638466
entropy,1835086398,290,0.1548472435160515
entropy,1835086399,290,0.09382418965210981
entropy,1835086400,290,0.048043183483457375
entropy,1835086401,290,0.11659779153375194
entropy,1835086402,290,0.05997603484085878
entropy,1835086403,290,0.10027403816949987
entropy,1835086404,290,0.057456166285678734
entropy,1835086405,290,0.1010211298722532
entropy,1835086406,290,0.06587878836557026
entropy,1835086407,290,0.12390666861290212
entropy,1835086408,290,0.09357862165633468
entropy,1835086409,290,0.0474152747190042
entropy,1835086410,290,0.06980029742649296
entropy,1835086411,290,0.08009997669278768
entropy,1835086412,290,0.03528716002509957
entropy,1835086413,290,0.2714523254894583
entropy,1835086414,290,0.17035324252626938
entropy,1835086415,290,0.028617441502578056
entropy,1835086416,290,0.12404286164623868
entropy,1835086417,290,0.10766821154689254
entropy,1835086418,290,0.046673648058836115
entropy,1835086419,290,0.06179129075821588
g,1835086300,290,1.3723793776467204
g,1835086301,290,0.8265646986439343
g,1835086302,290,5.396161623736302
g,1835086303,290,1.246472822991666
g,1835086304,290,2.344859218214844
g,1835086305,290,0.857453275459997
g,1835086306,290,1.5395777983994232
g,1835086307,290,0.9915517224912518
g,1835086308,290,1.1679668819563866
g,1835086309,290,0.8219914443826584
g,1835086310,290,0.3928775662234645
g,1835086311,290,0.8766347765313611
g,1835086312,290,0.812889984324189
g,1835086313,290,4.4875145426366645
g,1835086314,290,0.2956996292171947
g,1835086315,290,0.8690397494222604
g,1835086316,290,1.024984846209685
g,1835086317,290,2.639165526755976
g,1835086318,290,1.4054037928422758
g,1835086319,290,2.2411608562666485
g,1835086320,290,3.3433107287053714
g,1835086321,290,0.45266826193737053
g,1835086322,290,0.8693675965249079
g,1835086323,290,0.8306217877416542
g,1835086324,290,0.13419270495000757
g,1835086325,290,0.5331190596277657
g,1835086326,290,1.5705116509570194
g,1835086327,290,0.8610962812486882
