candidate_index,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,total_suppression,score_projection_off,score_projection_on
115,0.4418645563432814,0.12913943791623167,0.12560773319370264,0.24681935201415048,0.02953578999413962,0.027033130538494318,0.6,1.0,1.0,75.75332011461738,42.23152715439902
116,0.3362153012983631,0.10803239823160195,0.40664250331420104,0.031415995463107305,0.06642985567642277,0.05126394601630372,0.8,0.0,0.22400000000000003,66.00230586601506,65.95164010840115
117,0.19313096189583198,0.016948748381473925,0.20512703507892552,0.4018641208861629,0.08980441901332527,0.0931247147442806,0.8,0.2,0.42400000000000004,55.954682836723215,54.855049426165266
118,0.0008779118852983727,0.3981488036360155,0.04906307484700478,0.08932926028940362,0.3328547515075252,0.12972619783475253,0.8,0.4,0.6240000000000001,108.88961056745876,101.68134088295108
119,0.012823125187434213,0.041769439618948266,0.30063189984586625,0.4064999970940376,0.16165736970231387,0.07661816855139965,0.8,0.6,0.8240000000000001,64.88712259795379,47.11068398211417
120,0.19537800152178872,0.03146058324271665,0.14422755726437647,0.23294295591283087,0.303728831437179,0.09226207062110825,0.8,0.8,1.0,68.10983299009636,42.27402645442302
121,0.06023493021549142,0.23043071204666987,0.14164520756010132,0.20056330877970188,0.14866851154002322,0.21845732985801228,0.8,1.0,1.0,109.71953434952991,42.57155953751467
122,0.07221257924876487,0.06069978656871749,0.12109494661776463,0.44321814791767683,0.24183675204823016,0.060937787598845945,1.0,0.0,0.35,76.14296493596393,74.51326269606896
123,0.1548930915069094,0.34616228321852205,0.12110843820652799,0.17354649294244479,0.16958502358468291,0.03470467054091273,1.0,0.2,0.55,115.18974101129962,112.12829043834654
124,0.32205218847502787,0.14564682862448555,0.05254964720968927,0.21559032875357034,0.08133705946356833,0.18282394747365863,1.0,0.4,0.75,91.12628691375059,69.37298596898252
125,0.19841451080744998,0.2795443333865166,0.06369981317362589,0.35963939835799674,0.025150871866013984,0.07355107240839688,1.0,0.6,0.95,96.77105283072063,43.82057236385769
126,0.09356978189196952,0.3458713623555242,0.08841832166257375,0.198060668855426,0.18698829611277343,0.08709156912173319,1.0,0.8,1.0,116.23585243703133,42.63975217774131
127,0.0717614793215465,0.01996297342840913,0.12866704376375943,0.2106374895075956,0.201438580592187,0.3675324333865023,1.0,1.0,1.0,60.5155816821975,42.122724334110316
128,0.37490360819326224,0.03263682289197738,0.16115597005065838,0.19196082092553174,0.08526389679399314,0.15407888114457707,0.0,0.0,0.0,56.494520760251376,56.45548080454828
129,0.043479009676968605,0.34210372281296736,0.021480455056726695,0.08450531936584973,0.4131753557857051,0.0952561373017826,0.0,0.2,0.2,110.36423815556523,110.38007138690878
130,0.029901824557179598,0.14331156239212148,0.1625513025516484,0.16153678544325428,0.11759727334708925,0.38510125170870685,0.0,0.4,0.4,95.56212625583085,95.0479742174638
131,0.19486023336301572,0.023331089716366386,0.2549036844550059,0.27544393664115285,0.05139267327788087,0.2000683825465784,0.0,0.6,0.6,55.269950295074835,51.80354793096803
