channel,seed,maximum_statistic,post_burn_in_records,maximum_binary64_hex
compute_share,1835086375,0.5324840347596174,290,0x1.10a1bf55de8eep-1
compute_share,1835086376,0.6782603315908164,290,0x1.5b44f02cb69dcp-1
compute_share,1835086377,0.38684503725810954,290,0x1.8c211afe92ecfp-2
compute_share,1835086378,0.4667410992820665,290,0x1.ddf160f476569p-2
compute_share,1835086379,0.4316984145659975,290,0x1.ba0f26312f1d1p-2
compute_share,1835086380,0.42292253007091124,290,0x1.b1129a8d95a5dp-2
compute_share,1835086381,0.49511238908065264,290,0x1.fafebdfbc887dp-2
compute_share,1835086382,0.5177111077064718,290,0x1.09116e28c01e2p-1
compute_share,1835086383,0.48239195085327696,290,0x1.edf827d312e83p-2
compute_share,1835086384,0.40363296354027306,290,0x1.9d51f5a7f8ddbp-2
compute_share,1835086385,0.36499150953461595,290,0x1.75c05593134cdp-2
compute_share,1835086386,0.34732344241305074,290,0x1.63a8c1a931595p-2
compute_share,1835086387,0.566479721352892,290,0x1.2209a14a1da06p-1
compute_share,1835086388,0.3120546189480081,290,0x1.3f8b3efbca2cep-2
compute_share,1835086389,0.5151932127040273,290,0x1.07c7679f5eb44p-1
compute_share,1835086390,0.4763071861194315,290,0x1.e7bd122cee545p-2
compute_share,1835086391,0.4430170389431985,290,0x1.c5a6423753c25p-2
compute_share,1835086392,0.34096442412713407,290,0x1.5d25c72ae6ed3p-2
compute_share,1835086393,0.43939640346674674,290,0x1.c1f1217b7a923p-2
compute_share,1835086394,0.41147368276958235,290,0x1.a5595b6aa3e03p-2
compute_share,1835086395,0.6453153410545946,290,0x1.4a66c5badf862p-1
compute_share,1835086396,0.5181583245204111,290,0x1.094c0c43ee3e8p-1
compute_share,1835086397,0.36234826424466277,290,0x1.730b6c62c5d45p-2
compute_share,1835086398,0.5171552268136437,290,0x1.08c891e43d78cp-1
compute_share,1835086399,0.51515672284172,290,0x1.07c29f39d6e60p-1
compute_share,1835086400,0.3680944796918348,290,0x1.78edc2607550fp-2
compute_share,1835086401,0.46069195705238947,290,0x1.d7bfa1e447ef7p-2
compute_share,1835086402,0.40228812959917143,290,0x1.9bf16b60ca309p-2
compute_share,1835086403,0.34295440502271074,290,0x1.5f2f70865de19p-2
compute_share,1835086404,0.30804704610616773,290,0x1.3b70af529f1fcp-2
compute_share,1835086405,0.34519777407998936,290,0x1.617b86794d5d3p-2
compute_share,1835086406,0.5634486567542667,290,0x1.207c57a3782b4p-1
compute_share,1835086407,0.33572776025044654,290,0x1.57c9049a8a3c9p-2
compute_share,1835086408,0.47843369818267373,290,0x1.e9ea85fbfee47p-2
compute_share,1835086409,0.42370157288541893,290,0x1.b1ded33b39fe7p-2
compute_share,1835086410,0.49040270396411373,290,0x1.f62c205d95569p-2
compute_share,1835086411,0.4735901340640874,290,0x1.e4f4cfe60dd5dp-2
compute_share,1835086412,0.5408084148847354,290,0x1.14e4d72ea9bf6p-1
compute_share,1835086413,0.42964016378206044,290,0x1.b7f39751f7d79p-2
compute_share,1835086414,0.616173762685275,290,0x1.3b7b209ec5e62p-1
compute_share,1835086415,0.5260287808415498,290,0x1.0d53a4f4f03c0p-1
compute_share,1835086416,0.3138516562237637,290,0x1.4162541d1b22dp-2
compute_share,1835086417,0.7042146610193978,290,0x1.688ed2f4e2530p-1
compute_share,1835086418,0.38751377108838486,290,0x1.8cd068f64c067p-2
compute_share,1835086419,0.546367244260475,290,0x1.17bd728b68a50p-1
