action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_shock_magnitude,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,False,0.0,False,False,True,True,71.4809140637517,0,False,327,65.9917454997958,0,False,True,linux,1.0,0.2980031765508351,full,300,True,0.1,0,8,20,attack-v2-row-v1,1599077115,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.35305463103577,0,False,318,68.74849251430548,0,False,True,linux,1.0,0.3045131393593896,full,300,True,0.15,0,8,20,attack-v2-row-v1,1713406564,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.28929923987016,0,False,341,72.73443179495303,0,False,True,linux,1.0,0.30344150043371076,full,300,True,0.2,0,9,20,attack-v2-row-v1,943550915,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.9967301050201,0,False,254,52.79508926916777,0,False,True,linux,1.0,0.29126068613302125,full,300,True,0.15,0,9,20,attack-v2-row-v1,1000890234,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.05702291475609,0,False,298,63.58445528017326,0,False,True,linux,1.0,0.3149629200331112,full,300,True,0.1,0,9,20,attack-v2-row-v1,1566096550,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,66.68021694989875,0,False,309,63.72455473837373,0,False,True,linux,1.0,0.2854250526509081,full,300,True,0.2,0,10,20,attack-v2-row-v1,1580223374,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.231267883908,0,False,359,74.18917142081926,0,False,True,linux,1.0,0.27757933482357433,full,300,True,0.15,0,10,20,attack-v2-row-v1,1595780237,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,73.10977753903717,0,False,275,57.098059825923336,0,False,True,linux,1.0,0.29604788233278345,full,300,True,0.1,0,10,20,attack-v2-row-v1,2020340339,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.77419392531738,0,False,253,54.07519757298984,0,False,True,linux,1.0,0.28675808613629017,full,300,True,0.15,0,11,20,attack-v2-row-v1,279496506,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,67.7667847671546,0,False,319,67.34234455666505,0,False,True,linux,1.0,0.29005976654496507,full,300,True,0.2,0,11,20,attack-v2-row-v1,1644300767,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.27322648093104,0,False,254,51.86682053592884,0,False,True,linux,1.0,0.3063675886634161,full,300,True,0.1,0,11,20,attack-v2-row-v1,1811561310,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.30628294870257,0,False,387,82.9368933583457,0,False,True,linux,1.0,0.3012116539877697,full,300,True,0.1,0,12,20,attack-v2-row-v1,317994772,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.15844089537859,0,False,302,65.91964678672699,0,False,True,linux,1.0,0.3035330023464251,full,300,True,0.15,0,12,20,attack-v2-row-v1,1317375722,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,66.79734290903434,0,False,343,70.58395498342635,0,False,True,linux,1.0,0.29259213068208895,full,300,True,0.2,0,12,20,attack-v2-row-v1,1708504844,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,65.33659588685259,0,False,311,65.61436598008696,0,False,True,linux,1.0,0.2895021537416759,full,300,True,0.2,0,13,20,attack-v2-row-v1,720236984,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,73.16328879306093,0,False,277,57.68465864540801,0,False,True,linux,1.0,0.3182683746680531,full,300,True,0.15,0,13,20,attack-v2-row-v1,722031214,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.10609882790595,0,False,297,61.31278440608298,0,False,True,linux,1.0,0.3123688668260444,full,300,True,0.1,0,13,20,attack-v2-row-v1,1569610500,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,63.567440634127706,0,False,271,57.54889316197244,0,False,True,linux,1.0,0.29362188359132724,full,300,True,0.2,0,14,20,attack-v2-row-v1,833317571,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.8763519260101,0,False,317,66.5608290872793,0,False,True,linux,1.0,0.3150178770295076,full,300,True,0.15,0,14,20,attack-v2-row-v1,1597590998,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.57769252499565,0,False,320,65.51572922840896,0,False,True,linux,1.0,0.29893541809048246,full,300,True,0.1,0,14,20,attack-v2-row-v1,2107138438,200,200,False,True,engineered_fragility,0,0,0,False
