action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,37.48439243994653,0,True,0,2.859791701724995,0,False,True,linux,1.0,0.3191662152012983,full,300,False,25.0,0,15,20,attack-v2-row-v1,1719603639,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.33719199988991,0,True,0,2.720503766410993,0,False,True,linux,1.0,0.2972860934659017,full,300,False,10.0,0,15,20,attack-v2-row-v1,1871975713,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.73642694205046,0,True,0,2.803238908011187,0,False,True,linux,1.0,0.30780342347627787,full,300,False,25.0,0,16,20,attack-v2-row-v1,267123632,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,40.2621354800649,0,True,0,2.5880112122368373,0,False,True,linux,1.0,0.32340137803373437,full,300,False,15.0,0,16,20,attack-v2-row-v1,413665706,114,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,41.440963078755885,0,True,0,2.5880111939608583,0,False,True,linux,1.0,0.32999999999999996,full,300,False,1.0,0,16,20,attack-v2-row-v1,1237870672,114,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.26488490495831,0,True,0,2.8597913031960585,0,False,True,linux,1.0,0.32417124931272595,full,300,False,10.0,0,16,20,attack-v2-row-v1,1270109447,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.12763046287,0,True,0,2.803238627955382,0,False,True,linux,1.0,0.3228430240966981,full,300,False,5.0,0,16,20,attack-v2-row-v1,1551622538,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.854408817365766,0,True,0,2.976347792456998,0,False,True,linux,1.0,0.29744187886624396,full,300,False,1.0,0,17,20,attack-v2-row-v1,357598192,100,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.395848746877164,0,True,0,2.775384566992206,0,False,True,linux,1.0,0.30022581751970234,full,300,False,25.0,0,17,20,attack-v2-row-v1,682185069,107,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.982405892107636,0,True,0,2.7753837818828684,0,False,True,linux,1.0,0.2901297730603442,full,300,False,15.0,0,17,20,attack-v2-row-v1,1465444318,107,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.021485910750926,0,True,0,2.720503957588589,0,False,True,linux,1.0,0.3051616884698112,full,300,False,10.0,0,17,20,attack-v2-row-v1,1818140414,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.98887824313715,0,True,0,3.006410278603443,0,False,True,linux,1.0,0.3216826411270245,full,300,False,5.0,0,17,20,attack-v2-row-v1,1821302019,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.37976765120402,0,True,0,2.6139823190846387,0,False,True,linux,1.0,0.32999999999999996,full,300,False,10.0,0,18,20,attack-v2-row-v1,1176721824,113,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.44358900887892,0,True,0,2.9763476790960057,0,False,True,linux,1.0,0.30358118340311885,full,300,False,15.0,0,18,20,attack-v2-row-v1,1306528126,100,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,41.179457338992506,0,True,0,2.640214467526745,0,False,True,linux,1.0,0.2834193135405773,full,300,False,5.0,0,18,20,attack-v2-row-v1,1552163894,112,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.995579071808606,0,True,0,2.8032388353542426,0,False,True,linux,1.0,0.3011401948461423,full,300,False,25.0,0,18,20,attack-v2-row-v1,1553443017,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.30884256400168,0,True,0,2.8032397181932036,0,False,True,linux,1.0,0.3154629799054425,full,300,False,1.0,0,18,20,attack-v2-row-v1,1629272844,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.393693185877055,0,True,0,3.0062238708669455,0,False,True,linux,1.0,0.31010087751826554,full,300,False,10.0,0,19,20,attack-v2-row-v1,256038487,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,42.810372890904546,0,True,0,2.4375226605493174,0,False,True,linux,1.0,0.28986242515322785,full,300,False,5.0,0,19,20,attack-v2-row-v1,819731396,120,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.67891927622259,0,True,0,2.9467713194947893,0,False,True,linux,1.0,0.303256586448464,full,300,False,25.0,0,19,20,attack-v2-row-v1,905201912,101,300,False,False,bootstrap_subversion,0,0,0,False
